epsilon_tv,alternative,lower_b1,upper_b1,RSAI
0.17,Conditional scaling,0.16966666666666666,0.5096666666666667,1.0
0.17,Pause,0.0,0.0,1.0
0.17500000000000002,Acceleration,0.0,0.0,0.0
0.17500000000000002,Fast + safeguards,0.4853333333333333,0.8353333333333334,0.8074
0.17500000000000002,Conditional scaling,0.16466666666666666,0.5146666666666667,1.0
0.17500000000000002,Pause,0.0,0.0,1.0
0.18,Acceleration,0.0,0.0,0.0
0.18,Fast + safeguards,0.48033333333333333,0.8403333333333334,0.8024
0.18,Conditional scaling,0.15966666666666668,0.5196666666666667,1.0
0.18,Pause,0.0,0.0,1.0
0.185,Acceleration,0.0,0.0,0.0
0.185,Fast + safeguards,0.47533333333333333,0.8453333333333333,0.7974000000000001
0.185,Conditional scaling,0.15466666666666667,0.5246666666666666,1.0
0.185,Pause,0.0,0.0,1.0
0.19,Acceleration,0.0,0.0,0.0
0.19,Fast + safeguards,0.4703333333333333,0.8503333333333334,0.7924
0.19,Conditional scaling,0.14966666666666667,0.5296666666666667,1.0
0.19,Pause,0.0,0.0,1.0
0.195,Acceleration,0.0,0.0,0.0
0.195,Fast + safeguards,0.4653333333333333,0.8553333333333333,0.7874000000000001
0.195,Conditional scaling,0.14466666666666667,0.5346666666666666,1.0
0.195,Pause,0.0,0.0,1.0
0.2,Acceleration,0.0,0.0,0.0
0.2,Fast + safeguards,0.4603333333333333,0.8603333333333334,0.7824
0.2,Conditional scaling,0.13966666666666666,0.5396666666666667,1.0
0.2,Pause,0.0,0.0,1.0
0.20500000000000002,Acceleration,0.0,0.0,0.0
0.20500000000000002,Fast + safeguards,0.4553333333333333,0.8653333333333333,0.7774000000000001
0.20500000000000002,Conditional scaling,0.13466666666666666,0.5446666666666666,1.0
0.20500000000000002,Pause,0.0,0.0,1.0
0.21,Acceleration,0.0,0.0,0.0
0.21,Fast + safeguards,0.45033333333333336,0.8703333333333333,0.7724000000000001
0.21,Conditional scaling,0.12966666666666668,0.5496666666666666,1.0
0.21,Pause,0.0,0.0,1.0
0.215,Acceleration,0.0,0.0,0.0
0.215,Fast + safeguards,0.44533333333333336,0.8753333333333333,0.7674000000000001
0.215,Conditional scaling,0.12466666666666668,0.5546666666666666,1.0
0.215,Pause,0.0,0.0,1.0
0.22,Acceleration,0.0,0.0,0.0
0.22,Fast + safeguards,0.44033333333333335,0.8803333333333333,0.7624000000000001
0.22,Conditional scaling,0.11966666666666667,0.5596666666666666,1.0
0.22,Pause,0.0,0.0,1.0
0.225,Acceleration,0.0,0.0,0.0
0.225,Fast + safeguards,0.43533333333333335,0.8853333333333333,0.7574000000000001
0.225,Conditional scaling,0.11466666666666667,0.5646666666666667,1.0
0.225,Pause,0.0,0.0,1.0
0.23,Acceleration,0.0,0.0,0.0
0.23,Fast + safeguards,0.43033333333333335,0.8903333333333333,0.7524000000000001
0.23,Conditional scaling,0.10966666666666666,0.5696666666666667,1.0
0.23,Pause,0.0,0.0,1.0
0.23500000000000001,Acceleration,0.0,0.0,0.0
0.23500000000000001,Fast + safeguards,0.42533333333333334,0.8953333333333333,0.7474000000000001
0.23500000000000001,Conditional scaling,0.10466666666666666,0.5746666666666667,1.0
0.23500000000000001,Pause,0.0,0.0,1.0
0.24,Acceleration,0.0,0.0,0.0
0.24,Fast + safeguards,0.42033333333333334,0.9003333333333333,0.7424000000000001
0.24,Conditional scaling,0.09966666666666668,0.5796666666666667,1.0
0.24,Pause,0.0,0.0,1.0
0.245,Acceleration,0.0,0.0,0.0
0.245,Fast + safeguards,0.41533333333333333,0.9053333333333333,0.7374
0.245,Conditional scaling,0.09466666666666668,0.5846666666666667,1.0
0.245,Pause,0.0,0.0,1.0
0.25,Acceleration,0.0,0.0,0.0
0.25,Fast + safeguards,0.4103333333333333,0.9103333333333333,0.7324
0.25,Conditional scaling,0.08966666666666667,0.5896666666666667,1.0
0.25,Pause,0.0,0.0,1.0
0.255,Acceleration,0.0,0.0,0.0
0.255,Fast + safeguards,0.4053333333333333,0.9153333333333333,0.7274
0.255,Conditional scaling,0.08466666666666667,0.5946666666666667,1.0
0.255,Pause,0.0,0.0,1.0
0.26,Acceleration,0.0,0.0,0.0
0.26,Fast + safeguards,0.4003333333333333,0.9203333333333333,0.7224
0.26,Conditional scaling,0.07966666666666666,0.5996666666666667,1.0
0.26,Pause,0.0,0.0,1.0
0.265,Acceleration,0.0,0.0,0.0
0.265,Fast + safeguards,0.3953333333333333,0.9253333333333333,0.7174
0.265,Conditional scaling,0.07466666666666666,0.6046666666666667,1.0
0.265,Pause,0.0,0.0,1.0
0.27,Acceleration,0.0,0.0,0.0
0.27,Fast + safeguards,0.3903333333333333,0.9303333333333333,0.7124
0.27,Conditional scaling,0.06966666666666665,0.6096666666666667,1.0
0.27,Pause,0.0,0.0,1.0
0.275,Acceleration,0.0,0.0,0.0
0.275,Fast + safeguards,0.3853333333333333,0.9353333333333333,0.7074
0.275,Conditional scaling,0.06466666666666665,0.6146666666666667,1.0
0.275,Pause,0.0,0.0,1.0
0.28,Acceleration,0.0,0.0,0.0
0.28,Fast + safeguards,0.3803333333333333,0.9403333333333334,0.7024
0.28,Conditional scaling,0.059666666666666646,0.6196666666666667,1.0
0.28,Pause,0.0,0.0,1.0
0.28500000000000003,Acceleration,0.0,0.0,0.0
0.28500000000000003,Fast + safeguards,0.3753333333333333,0.9453333333333334,0.6974
0.28500000000000003,Conditional scaling,0.05466666666666664,0.6246666666666667,1.0
0.28500000000000003,Pause,0.0,0.0,1.0
0.29,Acceleration,0.0,0.0,0.0
0.29,Fast + safeguards,0.37033333333333335,0.9503333333333333,0.6924000000000001
0.29,Conditional scaling,0.04966666666666669,0.6296666666666666,1.0
0.29,Pause,0.0,0.0,1.0
0.295,Acceleration,0.0,0.0,0.0
0.295,Fast + safeguards,0.36533333333333334,0.9553333333333334,0.6874
0.295,Conditional scaling,0.04466666666666669,0.6346666666666667,1.0
0.295,Pause,0.0,0.0,1.0
0.3,Acceleration,0.0,0.0,0.0
0.3,Fast + safeguards,0.36033333333333334,0.9603333333333333,0.6824000000000001
0.3,Conditional scaling,0.03966666666666668,0.6396666666666666,1.0
0.3,Pause,0.0,0.0,1.0
